# For clips which all frames are abnormal, skip the AUC evaluation of the clip and count when evaluating average AUC of the entire test set.
+----------+-------------+-------------+-------------+-------------+
| VIDEO-ID | AUROC-Recon | AUROC-FlowA | AUROC-FlowM | AUROC-Total |
| 08_0080  |    0.5606   |    0.4350   |    0.3957   |    0.3550   |
| 08_0156  |    0.9081   |    0.9291   |    0.9259   |    0.9293   |
| 08_0157  |    0.9118   |    0.9322   |    0.9197   |    0.9278   |
| 08_0158  |    0.7920   |    0.8061   |    0.7815   |    0.7916   |
| 08_0159  |    0.7656   |    0.7576   |    0.7322   |    0.7456   |
| 08_0178  |    0.9725   |    0.9485   |    0.9517   |    0.9498   |
| 08_0179  |    0.5340   |    0.4790   |    0.5020   |    0.4952   |
| 09_0057  |    0.6952   |    0.6862   |    0.7201   |    0.7062   |
| 10_0037  |    0.9524   |    0.9229   |    0.8828   |    0.8978   |
| 10_0038  |    0.3043   |    0.1803   |    0.1580   |    0.1687   |
| 10_0042  |    0.1925   |    0.1916   |    0.1892   |    0.1885   |
| 10_0074  |    0.5545   |    0.5645   |    0.4853   |    0.5020   |
| 10_0075  |    0.8621   |    0.7742   |    0.7991   |    0.7915   |
| 11_0176  |    0.8552   |    0.8791   |    0.8681   |    0.8726   |
| 12_0142  |    0.4476   |    0.6781   |    0.7328   |    0.7470   |
| 12_0143  |    0.5990   |    0.5765   |    0.5886   |    0.5869   |
| 12_0148  |    0.8706   |    0.7728   |    0.9209   |    0.8364   |
| 12_0149  |    0.8933   |    0.8708   |    0.9687   |    0.9554   |
| 12_0151  |    0.8741   |    0.9176   |    0.9146   |    0.9634   |
| 12_0152  |    0.3580   |    0.4348   |    0.4529   |    0.4667   |
| 12_0154  |    0.6771   |    0.8444   |    0.9981   |    0.9539   |
| 12_0173  |    0.7580   |    0.5945   |    0.6619   |    0.6113   |
| 12_0174  |    0.4839   |    0.4786   |    0.8533   |    0.6814   |
| 12_0175  |    0.9867   |    0.9785   |    0.6972   |    0.9332   |
|   avg    |    0.7182   |    0.7252   |    0.7227   |    0.7297   |
+----------+-------------+-------------+-------------+-------------++----------+-------------+-------------+-------------+-------------+
| VIDEO-ID | AUROC-Recon | AUROC-FlowS | AUROC-FlowD | AUROC-Total |
+----------+-------------+-------------+-------------+-------------+
| 01_0014  |    0.9591   |    0.9738   |    0.9731   |    0.9735   |
| 01_0015  |    0.9988   |    0.9681   |    0.9536   |    0.9582   |
| 01_0016  |    0.9643   |    0.9587   |    0.9455   |    0.9510   |
| 01_0025  |    0.6820   |    0.6781   |    0.6696   |    0.6727   |
| 01_0026  |    0.7523   |    0.7659   |    0.7802   |    0.7754   |
| 01_0027  |    0.9432   |    0.9167   |    0.9075   |    0.9106   |
| 01_0028  |    0.9508   |    0.9463   |    0.9633   |    0.9530   |
| 01_0029  |    0.9777   |    0.9923   |    0.9894   |    0.9909   |
